Carimbo de data/hora,Qual seu nome de usuário no servidor Discord Matemática como Hobby?,Qual seu nome de usuário no Instagram?,Qual seu nome de usuário no YouTube?
28/07/2025 16:09:59,dudavitt,,@dicrectorscut
28/07/2025 16:45:37,artsalm,,Artur Salmazo
28/07/2025 17:09:26,matperigrino (Mateus Perigrino),,@mateusperigrino5417 (Mateus Perigrino)
28/07/2025 17:46:41,acguardia,,guardia_ac
28/07/2025 19:47:40,improut (exibição: ph),,improut
28/07/2025 20:24:02,jvbazeto,,jvbazeto
28/07/2025 20:44:45,mastergriffin96,,Kaique Oliveira
28/07/2025 20:59:11,Ziul,,Luiz Augusto de Lira (@LuizZiull)
29/07/2025 10:42:58,Alibabapenguim ,,Enzo ribeiro de castro costa 
30/07/2025 00:14:27,ralphraws,,rlfreitass
30/07/2025 05:48:34,the_goodfella,,@rafaelmachado2527
